Minute,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
113,33,14,3,32,24,1,7,23,20,11
114,40,18,5,26,17,4,9,14,25,12
115,24,23,2,22,16,1,7,5,23,9
116,28,16,2,16,21,2,9,2,17,8
117,40,18,2,32,19,1,17,9,20,9
118,29,25,0,13,18,4,10,1,16,12
119,28,23,3,13,24,2,8,11,19,12
120,32,23,0,18,20,2,3,7,13,7
121,28,11,3,9,25,4,5,2,14,10
122,35,14,9,22,25,1,11,4,17,8
123,32,24,8,12,17,11,8,12,20,9
124,30,15,3,20,23,3,8,6,14,9
125,33,16,12,32,21,3,10,7,19,10
126,35,21,2,30,24,5,5,5,15,11
127,21,19,4,34,23,3,8,5,15,13
128,23,23,1,32,23,1,17,5,16,10
129,28,16,8,20,22,1,12,9,20,10
130,28,19,0,10,19,3,17,9,19,8
131,26,23,15,12,15,3,17,3,19,8
132,27,24,1,15,18,1,9,6,13,10
133,35,13,5,26,18,1,8,8,25,12
134,26,23,1,32,19,9,12,5,26,11
135,30,14,0,27,17,13,6,3,26,10
136,30,23,6,16,17,3,11,27,20,10
137,27,19,0,33,25,1,13,5,20,10
138,27,10,14,18,19,1,2,193,25,13
139,34,27,5,24,22,2,3,2,21,11
140,28,13,14,34,18,1,5,14,21,9
141,26,19,0,22,15,1,12,16,21,11
142,29,16,2,23,21,2,12,11,17,13
143,34,18,2,24,19,9,11,12,20,10
144,39,16,11,31,17,4,5,12,23,13
145,25,26,0,14,18,16,14,5,19,12
146,34,18,2,30,25,3,7,5,15,10
147,30,19,0,27,23,2,6,32,20,9
148,34,16,5,16,19,1,13,12,20,4
149,35,19,3,34,25,2,8,221,23,12
150,30,14,0,14,21,2,22,12,27,9
151,33,24,1,26,23,15,9,25,22,8
152,28,19,2,17,18,1,3,4,18,9
153,28,18,10,18,25,1,3,17,20,10
154,33,22,1,18,18,2,3,9,16,16
155,35,26,7,26,22,2,4,4,13,10
156,19,22,26,7,25,7,12,42,22,13
157,25,16,2,5,21,10,12,22,20,11
158,35,20,1,7,21,12,9,4,16,7
159,30,25,0,33,25,2,14,2,15,10
160,29,19,3,12,21,6,8,6,14,11
161,32,23,9,17,22,4,2,1,17,8
162,22,24,2,24,24,3,11,1,19,10
163,30,24,2,30,23,1,6,7,20,13
164,24,26,3,20,19,8,11,21,26,13
165,27,17,4,34,24,1,10,4,22,10
166,34,18,10,5,23,3,6,15,26,11
167,28,27,10,29,16,5,8,63,16,12
168,28,24,6,20,16,1,10,3,20,9
169,25,22,6,28,13,5,3,10,19,9
170,40,21,3,5,21,4,28,6,21,6
171,27,12,1,24,21,8,8,3,27,6
172,16,27,5,19,19,1,12,1,24,13
173,31,26,3,24,21,6,8,1,21,6
174,36,18,3,7,20,1,9,11,17,8
175,27,18,10,19,26,5,5,69,18,9
176,30,25,3,23,19,7,19,14,14,11
177,30,16,3,23,19,7,11,5,16,8
178,24,24,0,18,20,6,6,7,16,10
179,26,19,0,20,25,1,14,2,22,7
180,27,16,15,6,16,4,8,7,23,8
181,31,28,1,21,18,4,9,9,27,11
182,33,25,19,27,23,14,12,11,14,6
183,34,26,3,14,16,1,3,4,19,10
184,35,16,1,21,22,7,10,2,20,13
185,27,26,7,27,20,2,7,9,14,7
186,29,17,8,11,20,1,11,19,18,13
187,32,15,8,20,20,2,10,0,20,14
188,22,14,8,32,21,1,10,6,17,13
189,33,18,4,18,21,2,6,13,17,12
190,25,16,1,5,22,9,13,2,20,9
191,30,19,7,30,17,2,14,14,26,10
192,34,18,6,5,24,2,8,17,21,11
193,42,20,22,26,17,8,14,29,23,12
194,42,11,4,9,18,1,12,6,17,11
195,30,16,2,11,22,8,12,1,27,10
196,26,18,1,7,17,2,16,6,13,11
197,32,15,1,21,18,5,3,28,18,13
198,33,13,3,6,19,17,6,40,18,7
199,33,12,8,26,21,12,4,26,14,11
200,34,29,3,17,20,3,5,2,16,6
201,34,18,7,16,18,2,10,20,17,10
202,28,24,2,28,18,4,7,31,19,12
203,30,27,3,11,20,3,8,12,23,12
204,31,18,7,8,17,2,4,42,14,10
205,29,14,6,15,25,6,19,4,12,9
206,32,17,10,15,17,19,8,5,19,8
207,31,18,1,12,22,3,6,4,26,13
208,24,25,1,10,25,3,11,20,18,11
209,36,16,2,10,26,17,9,21,18,10
210,33,23,3,32,17,3,10,8,21,7
211,29,28,0,24,21,10,9,39,28,6
212,21,27,12,6,19,1,7,1,19,13
213,19,20,0,34,23,3,8,10,24,15
214,28,19,21,12,16,7,11,1,20,13
215,36,22,3,9,17,3,7,15,26,7
216,28,27,11,17,23,5,5,14,16,7
217,22,18,3,22,18,2,5,8,18,7
218,30,16,4,19,21,4,7,15,17,9
219,35,22,5,13,21,3,7,33,22,11
220,31,27,6,17,20,3,19,9,18,10
221,32,16,1,27,24,2,10,9,21,11
222,28,17,2,31,20,1,8,2,22,11
223,28,13,0,26,22,4,11,1,14,10
224,33,17,2,28,20,2,26,67,18,9
225,36,21,3,18,26,6,8,11,16,10
226,33,20,3,6,25,3,6,8,18,10
227,31,18,2,9,16,5,16,12,18,10
228,34,22,18,6,19,3,6,4,24,9
229,29,17,4,28,24,2,24,17,21,7
230,36,19,2,12,24,5,11,10,17,11
231,34,18,0,23,18,3,9,5,23,13
232,34,18,1,6,20,6,7,7,13,9
233,25,20,0,23,19,4,12,15,22,12
234,30,16,5,24,22,3,14,15,21,9
235,17,26,13,11,22,9,17,30,15,8
236,24,22,1,11,22,3,15,18,23,10
237,29,18,2,26,16,3,5,1,22,13
238,37,19,1,15,18,2,11,16,18,10
239,23,24,3,30,25,7,8,4,21,11
240,32,20,3,8,23,4,3,4,17,10
241,35,16,3,19,29,2,5,5,25,11
242,30,18,0,21,15,7,5,4,22,8
243,27,23,3,8,22,3,25,4,19,8
244,31,18,1,12,19,3,11,6,20,12
245,37,25,2,26,23,2,11,21,21,7
246,33,17,0,8,18,7,8,5,17,11
247,21,17,0,5,22,4,9,16,19,12
248,32,22,4,14,20,1,15,22,27,8
249,28,21,5,18,18,1,12,3,25,10
250,28,20,10,18,18,4,9,10,15,11
251,28,14,7,28,19,14,9,9,13,10
252,30,24,18,18,19,12,8,5,21,14
253,26,22,10,13,20,18,10,25,21,11
254,34,19,7,31,19,5,2,5,24,14
255,29,24,0,14,16,2,11,46,25,8
256,31,19,12,16,15,17,10,22,13,9
257,36,15,1,27,21,1,13,113,22,11
258,24,17,6,27,24,3,7,17,19,12
259,22,28,7,10,25,3,16,7,13,10
260,27,23,8,6,17,4,9,8,25,7
261,25,20,6,13,24,6,11,52,21,9
262,27,24,2,27,24,2,16,10,24,8
263,26,15,2,25,17,8,5,44,26,13
264,26,20,4,33,24,2,12,3,20,9
265,25,21,1,12,21,6,4,2,16,10
266,22,16,8,21,22,4,16,19,14,10
267,22,21,0,10,16,1,11,3,21,9
268,22,22,7,33,19,4,11,2,17,4
269,32,18,1,24,17,5,9,27,17,10
270,21,19,2,31,18,7,13,10,19,14
271,27,19,0,24,21,2,3,0,14,9
272,37,17,2,14,20,3,7,1,22,11
273,25,19,5,19,22,4,4,1,21,9
274,35,14,4,32,20,3,5,11,21,12
275,33,25,2,17,23,4,11,1,19,11
276,27,25,2,31,17,5,6,1,25,7
277,32,26,1,23,19,1,4,12,22,11
278,29,26,2,27,16,13,11,34,20,12
279,34,21,5,11,18,6,14,21,21,11
280,30,24,1,7,17,1,5,8,20,12
281,29,17,1,27,23,6,6,10,27,12
282,27,19,2,6,21,6,12,21,15,9
283,28,18,2,6,23,16,9,22,15,11
284,33,24,5,27,24,8,13,5,16,12
285,39,17,3,21,22,7,12,20,17,12
286,22,31,3,25,11,4,11,44,25,10
287,29,14,2,14,21,13,3,10,18,8
288,33,17,9,32,18,6,4,86,18,8
289,29,22,0,14,21,1,11,2,14,8
290,25,16,6,12,23,7,15,25,20,7
291,37,15,2,9,18,13,4,45,17,10
292,41,24,5,11,21,4,22,129,19,9
293,23,21,0,6,17,7,16,13,17,9
294,29,14,15,21,21,2,12,6,22,13
295,23,14,14,34,22,13,11,2,21,9
296,27,22,0,13,20,6,8,9,17,7
297,37,19,13,30,21,20,7,27,16,9
298,25,18,18,20,21,1,11,25,20,8
299,26,22,2,14,20,5,6,8,23,11
300,31,18,0,32,18,23,15,10,18,8
301,41,18,7,20,17,5,5,6,19,10
302,30,15,2,17,22,12,4,14,11,11
303,29,18,1,34,24,5,2,2,19,10
304,37,21,0,24,17,2,8,14,21,10
305,32,23,24,17,25,11,19,1,24,7
306,28,23,0,12,21,3,11,8,16,10
307,34,19,0,29,20,2,9,4,20,11
308,28,19,24,23,17,1,10,17,23,10
309,22,26,1,31,16,1,13,3,14,12
310,24,14,9,9,19,2,7,1,15,8
311,29,14,23,14,17,1,15,1,21,11
312,27,24,2,31,25,3,10,0,23,10
313,31,21,4,10,27,1,8,6,16,10
314,28,20,5,17,23,14,12,9,16,8
315,27,12,4,11,25,1,8,10,22,6
316,31,15,0,12,19,8,7,21,20,11
317,35,15,1,5,14,1,10,1,14,10
318,26,13,5,26,20,5,9,6,17,10
319,32,20,5,16,21,1,12,31,21,10
320,32,24,15,17,21,17,15,4,21,9
321,26,15,2,9,23,3,4,26,16,11
322,33,19,3,26,21,3,7,3,25,10
323,33,25,5,30,20,1,3,11,19,10
324,30,12,0,17,20,10,8,7,20,8
325,30,23,10,13,22,4,9,1,27,11
326,25,19,8,17,22,4,6,3,12,12
327,26,20,6,7,20,4,4,9,26,14
328,29,25,1,24,23,3,8,12,15,10
329,37,18,3,33,19,1,11,2,19,10
330,33,14,10,31,20,2,6,3,23,9
331,35,17,1,23,19,1,11,8,22,8
332,25,15,3,15,17,18,8,3,23,7
333,37,19,18,20,20,3,4,10,14,8
334,29,23,2,33,19,7,6,44,20,9
335,37,17,8,18,18,1,12,4,17,9
336,27,20,2,24,23,5,10,5,16,13
337,26,27,3,30,22,35,8,17,20,10
338,23,16,10,33,26,13,21,10,23,10
339,31,17,18,29,27,4,9,11,28,7
340,28,12,1,9,16,5,7,8,22,10
341,27,22,1,27,18,12,19,22,17,10
342,26,14,9,10,22,6,13,2,17,9
343,31,24,0,33,15,2,17,46,25,9
344,22,20,20,33,26,11,11,10,14,10
345,27,10,5,20,24,1,7,14,18,8
346,25,25,0,23,22,3,13,11,20,6
347,28,30,2,20,20,2,8,13,26,10
348,36,20,0,9,13,1,15,5,20,11
349,33,19,5,14,23,20,6,3,20,9
350,27,25,0,10,16,7,13,9,19,8
351,37,19,2,14,17,2,12,18,16,8
352,26,22,1,11,23,1,11,42,16,10
353,23,17,13,20,25,3,8,10,13,7
354,27,21,2,30,16,12,15,11,17,12
355,35,18,5,25,18,5,7,5,10,11
356,28,11,8,24,20,1,8,5,21,9
357,30,25,8,23,16,1,6,0,18,12
358,26,25,9,10,22,1,12,8,22,10
359,32,25,0,16,19,4,9,3,18,11
360,31,17,2,10,25,11,9,30,23,10
361,36,11,13,13,22,3,12,15,18,10
362,41,16,6,29,22,2,10,12,23,11
363,22,17,4,11,27,3,9,0,20,11
364,28,21,1,33,20,14,21,2,14,10
365,29,15,1,5,16,3,2,21,21,12
366,22,18,0,31,20,6,7,3,16,10
367,25,24,0,21,23,1,10,2,18,11
368,36,14,11,33,20,3,8,5,17,8
369,20,12,38,16,19,4,23,54,19,10
370,34,23,6,15,21,1,7,14,18,15
371,26,20,2,9,18,3,14,12,21,10
372,30,19,1,22,22,1,14,7,23,8
373,26,21,15,16,18,3,3,4,23,8
374,27,17,13,24,19,2,12,3,13,14
375,29,25,0,11,24,4,13,1,22,12
376,30,13,0,31,19,31,3,6,14,11
377,32,23,5,29,13,3,21,11,20,8
378,18,29,7,8,18,2,9,4,23,15
379,31,6,1,17,21,7,27,4,21,9
380,15,16,0,10,21,1,12,15,21,8
381,29,16,1,12,23,2,17,20,17,11
382,28,16,2,24,20,9,9,3,15,7
383,32,13,1,13,24,11,16,95,21,10
384,21,20,2,8,16,5,6,4,15,12
385,31,25,8,8,19,3,13,10,22,10
386,26,17,0,14,23,3,7,16,19,9
387,25,17,0,25,16,1,7,101,21,8
388,36,15,13,11,19,12,10,2,15,13
389,34,23,1,8,21,1,11,28,26,9
390,22,13,5,7,22,2,8,8,18,14
391,27,27,0,34,24,4,13,9,19,11
392,18,21,5,9,18,3,8,8,25,11
393,29,16,0,6,12,2,9,6,21,12
394,31,19,3,28,17,5,8,2,15,9
395,36,20,6,5,23,2,12,17,16,8
396,33,15,7,31,20,3,12,12,10,11
397,23,17,0,7,22,6,7,7,17,8
398,29,17,8,32,15,1,8,0,16,7
399,29,16,4,22,20,4,8,21,25,11
400,30,15,22,12,21,1,4,6,20,9
401,25,19,1,26,21,2,8,1,19,8
402,24,27,4,34,13,1,5,12,22,8
403,35,8,12,29,23,4,6,2,15,10
404,26,27,10,24,21,6,10,10,25,10
405,33,21,0,6,18,4,15,3,19,10
406,29,18,0,26,21,10,7,3,25,9
407,28,26,0,11,17,5,10,1,15,9
408,36,16,6,31,25,1,4,1,23,11
409,33,35,4,8,23,1,14,9,16,13
410,41,21,0,23,19,2,6,72,22,8
411,32,30,3,16,18,1,17,5,27,11
412,30,13,10,17,24,7,11,26,18,13
413,28,29,5,25,18,1,7,3,23,9
414,33,21,17,32,21,10,6,34,15,10
415,24,23,3,23,17,4,5,4,20,10
416,36,18,3,6,20,16,25,16,23,10
417,35,15,1,32,15,5,15,2,19,9
418,31,18,3,31,25,10,8,7,14,9
419,29,20,9,33,18,1,13,9,12,9
420,39,19,5,6,19,2,7,5,22,12
421,20,13,0,18,19,1,10,3,16,7
422,35,25,1,27,22,5,8,3,14,7
423,23,20,7,14,23,1,9,20,21,13
424,21,18,3,10,25,4,13,19,22,11
425,25,16,2,8,21,1,9,4,20,7
426,32,15,1,18,22,9,6,9,26,11
427,27,18,0,24,19,3,17,7,20,10
428,25,19,3,9,23,9,15,8,27,10
429,29,21,7,10,20,1,13,14,18,13
430,35,10,0,6,22,7,8,26,19,11
431,29,13,1,26,17,7,8,5,19,9
432,37,18,13,9,18,14,16,11,25,11
433,32,18,5,18,19,8,15,30,26,8
434,25,26,3,27,23,2,9,10,20,9
435,30,24,0,23,21,1,5,4,25,7
436,29,22,10,7,25,5,14,10,12,11
437,34,21,8,31,25,2,11,5,15,13
438,30,17,6,31,18,1,7,32,23,12
439,26,23,1,33,19,5,8,20,24,7
440,25,16,0,8,22,1,14,1,27,9
441,31,22,13,14,21,3,6,2,19,11
442,30,18,2,31,15,4,7,8,12,7
443,34,23,14,7,18,4,9,5,21,10
444,32,14,4,29,23,5,11,2,27,12
445,31,17,11,18,21,12,19,10,22,11
446,24,17,7,23,19,9,7,7,18,10
447,20,20,0,33,19,1,14,4,20,9
448,39,16,0,24,18,13,6,13,18,10
449,34,18,10,20,16,4,5,9,14,11
450,33,17,3,27,18,16,17,8,25,13
451,30,18,13,6,23,2,2,16,21,13
452,23,26,0,13,17,12,8,3,26,9
453,25,18,8,30,19,4,13,2,19,11
454,29,11,0,21,22,1,8,5,21,11
455,22,21,1,14,19,3,15,4,24,9
456,27,23,2,21,19,8,8,8,16,9
457,38,23,0,10,23,9,10,32,24,7
458,29,18,10,21,16,10,15,2,24,7
459,28,23,2,26,24,5,11,2,19,7
460,35,21,0,25,23,4,13,5,26,11
461,37,19,0,21,28,2,6,1,19,9
462,24,12,5,24,16,4,5,0,27,6
463,22,20,2,24,13,3,15,15,13,9
464,37,16,8,28,18,4,11,9,19,11
465,20,25,6,9,21,4,9,27,13,12
466,42,36,2,7,22,4,9,1,26,13
467,28,24,5,11,22,3,16,14,29,8
468,30,18,19,8,21,4,13,1,16,7
469,33,28,0,11,20,1,9,6,24,7
470,33,15,6,17,23,3,12,31,19,16
471,31,19,0,19,21,10,10,15,16,10
472,35,24,0,25,20,5,8,35,19,8
473,44,24,7,17,16,5,12,2,17,10
474,25,20,3,21,24,3,4,11,23,11
475,26,16,13,6,18,1,9,13,19,9
476,26,21,2,25,26,3,9,11,23,8
477,16,14,7,21,18,1,10,1,17,12
478,29,17,12,14,17,8,4,3,15,6
479,26,22,1,26,20,1,11,4,15,13
480,28,22,6,13,20,13,11,11,11,11
481,23,20,6,8,17,6,15,2,17,7
482,37,17,0,30,18,4,13,7,27,9
483,32,13,10,20,19,1,5,48,16,8
484,27,22,4,9,22,2,11,4,16,5
485,27,33,6,19,17,3,9,12,23,12
486,24,17,7,17,18,2,9,4,26,9
487,37,15,0,6,19,8,7,56,20,11
488,31,14,5,11,19,2,9,15,22,11
489,23,19,0,18,18,15,7,1,21,12
490,20,21,0,34,20,2,0,17,18,11
491,33,30,0,31,16,6,15,4,19,13
492,25,19,1,12,19,2,11,3,19,12
493,22,23,1,11,21,2,16,9,17,14
494,26,13,0,6,24,2,5,2,28,9
495,28,20,1,9,23,1,9,42,21,7
496,18,22,21,33,21,3,6,4,24,9
497,31,19,0,13,18,2,9,21,16,10
498,33,15,1,19,19,20,4,4,18,13
499,24,32,14,24,22,1,10,5,14,10
500,35,20,1,32,17,10,15,7,26,14
501,26,20,0,20,19,3,4,5,20,10
502,39,17,9,8,27,1,8,2,26,9
503,28,22,13,21,15,2,9,8,27,9
504,28,24,15,20,14,3,9,39,17,10
505,34,20,0,24,16,19,5,11,22,10
506,20,20,0,5,20,5,3,8,14,10
507,36,16,7,15,23,1,15,11,26,12
508,21,14,3,28,19,5,10,1,23,8
509,23,11,4,30,24,2,5,23,17,8
510,22,13,9,30,23,2,26,5,18,11
511,34,25,0,16,15,3,12,3,18,10
512,34,16,7,8,13,4,3,11,12,8
513,30,28,3,23,17,3,15,22,20,12
514,31,23,4,8,24,1,8,3,24,11
515,32,20,12,15,20,10,6,14,23,9
516,38,17,2,9,20,3,9,9,18,9
517,27,22,3,13,19,4,11,34,19,7
518,33,17,7,30,28,7,4,12,15,7
519,32,17,0,17,23,5,8,2,20,8
520,29,17,2,33,17,4,8,2,17,8
521,28,20,0,10,19,1,7,2,19,9
522,20,19,4,13,24,1,6,12,20,9
523,24,19,0,18,20,2,8,3,21,13
524,36,15,5,29,21,12,11,14,20,10
525,34,23,9,25,22,1,11,13,17,8
526,24,30,0,31,23,1,6,19,21,10
527,34,24,2,12,21,3,8,21,13,11
528,36,25,1,20,25,10,4,4,23,9
529,23,18,0,21,28,11,13,18,23,12
530,30,17,0,30,18,2,10,18,27,8
531,26,20,2,20,24,1,12,3,18,12
532,17,20,13,6,19,2,12,23,20,9
533,28,20,1,24,21,1,9,24,16,10
534,32,18,2,18,15,9,7,6,10,9
535,34,22,9,22,23,17,22,7,19,10
536,24,17,3,16,19,7,8,7,23,12
537,21,19,4,18,24,2,14,25,21,7
538,23,20,6,11,20,1,11,16,25,11
539,34,21,5,16,23,2,4,1,17,13
540,34,15,8,15,17,4,8,1,27,10
541,36,17,8,25,24,5,12,20,22,9
542,33,21,1,13,24,3,13,1,27,9
543,30,15,7,5,15,12,8,2,17,11
544,38,16,6,27,20,3,16,1,18,9
545,12,20,1,14,20,4,13,20,22,12
546,28,18,5,27,13,1,4,20,19,9
547,38,23,9,23,15,1,3,12,20,14
548,29,20,0,5,16,9,11,32,19,8
549,34,22,1,20,17,1,17,19,14,9
550,24,27,6,6,17,4,13,99,23,11
551,19,10,1,17,27,4,12,10,24,11
552,28,26,0,29,19,7,9,1,17,13
553,38,23,3,28,19,8,9,1,16,10
554,31,21,4,13,19,1,9,17,25,11
555,20,29,7,16,24,4,18,0,20,11
556,28,30,12,18,20,14,4,3,25,14
557,27,16,10,30,22,4,13,3,19,12
558,30,26,15,32,18,12,20,7,18,9
559,42,18,0,32,23,10,11,4,22,11
560,31,13,3,16,22,3,21,23,15,12
561,26,19,7,10,22,3,3,1,17,7
562,35,22,0,32,18,7,6,6,23,9
563,24,12,2,17,18,2,13,12,13,6
564,28,19,2,9,18,15,4,4,20,10
565,30,17,4,28,19,1,13,4,17,10
566,29,20,4,28,19,6,13,16,20,10
567,32,21,8,29,17,5,14,3,26,12
568,27,16,3,25,20,1,15,17,19,11
569,21,20,4,10,20,2,3,1,28,8
570,23,18,11,6,23,5,5,25,17,9
571,28,18,3,9,25,2,10,22,19,9
572,32,20,3,34,24,3,6,4,14,9
573,31,16,1,18,27,3,6,30,28,10
574,29,20,4,19,26,14,16,3,23,9
575,26,16,2,22,16,14,9,9,17,8
576,31,21,1,7,17,3,11,15,12,9
577,26,16,8,13,18,1,16,6,18,10
578,30,17,1,16,17,5,11,4,21,8
579,36,21,6,14,16,16,11,24,16,10
580,29,22,0,7,13,1,19,5,23,11
581,23,24,0,14,15,8,12,18,19,9
582,29,23,7,8,26,2,7,4,16,13
583,37,18,9,26,25,5,16,9,21,9
584,39,19,6,17,25,5,1,5,22,11
585,30,15,15,20,18,3,8,9,21,12
586,24,12,10,34,24,5,12,4,22,15
587,33,13,13,29,22,31,14,3,15,13
588,30,27,2,6,20,5,8,30,23,11
589,23,18,3,18,17,2,7,1,15,11
590,30,21,1,8,18,5,9,10,17,8
591,36,19,18,18,21,9,15,4,22,8
592,23,28,2,5,22,8,12,27,20,9
593,28,22,4,14,18,1,3,6,25,11
594,31,32,3,7,19,7,9,9,15,11
595,36,21,15,14,15,2,13,5,16,10
596,36,30,0,27,21,4,8,2,17,10
597,22,24,1,15,23,2,5,8,27,13
598,30,16,19,33,18,3,7,23,19,13
599,30,20,1,34,18,3,5,6,19,9
600,27,15,0,30,19,1,8,6,17,14
601,28,16,5,10,22,1,4,18,22,10
602,30,14,11,19,19,2,4,55,15,8
603,34,14,2,31,22,6,9,3,14,15
604,39,14,7,21,19,1,5,26,18,12
605,37,24,0,11,19,1,6,3,27,13
606,25,28,1,18,24,3,5,11,22,6
607,32,20,4,8,20,3,5,6,14,7
608,26,17,7,9,19,6,11,2,21,9
609,27,21,5,14,18,2,17,4,19,9
610,34,29,13,30,21,3,17,3,18,10
611,35,23,3,18,22,2,4,54,15,10
612,37,30,3,26,23,1,3,10,23,10
613,25,22,2,19,22,1,20,11,21,13
614,27,31,0,32,21,1,9,5,21,12
615,30,16,4,12,21,16,14,4,23,9
616,31,18,11,9,18,2,9,1,23,13
617,22,15,5,19,20,7,8,0,20,10
618,33,15,1,10,23,6,7,11,22,10
619,28,20,8,19,18,3,9,5,15,12
620,31,29,1,31,17,12,9,13,26,9
621,28,19,1,26,23,10,9,8,19,8
622,25,19,2,25,23,12,15,8,23,9
623,22,17,1,26,19,2,10,9,16,10
624,33,20,9,24,19,1,11,33,18,9
625,31,17,7,17,17,5,9,2,21,12
626,24,17,0,9,22,5,15,16,23,10
627,25,20,14,12,18,6,5,12,16,9
628,34,12,1,29,21,10,4,1,24,9
629,26,18,1,16,24,6,9,9,24,9
630,29,19,6,27,25,8,6,10,11,11
